"","Gam_P_Vector_All","Gam_Z_Vector_All","Gam_P_FDR_Vector_All","Gam_Z_FDR_Sig_Vector_All","Gam_P_Bonf_Vector_All","Gam_Z_Bonf_Sig_Vector_All"
"1",0.00126949318945955,-3.22278834899955,0.00446860760152385,-3.22278834899955,1,0
"2",0,0,0,0,0,0
"3",0.132887063743108,-1.50281380987747,0.216428608729466,0,1,0
"4",0.975705423290405,-0.0304534429445054,0.983166645535572,0,1,0
"5",0,0,0,0,0,0
"6",0.0554237131246984,-1.91553968522588,0.105161798939315,0,1,0
"7",0.03448054719843,-2.11440668486089,0.0709578823178477,0,1,0
"8",0,0,0,0,0,0
"9",5.8145532893456e-05,-4.02021305334268,0.000308312292010665,-4.02021305334268,1,0
"10",0,0,0,0,0,0
"11",0.892804758185873,-0.13475604699263,0.925162552870282,0,1,0
"12",0.000110778141461047,-3.86568433720567,0.000540514781760833,-3.86568433720567,1,0
"13",8.20262119203238e-06,-4.45982601804849,5.54375943258895e-05,-4.45982601804849,0.174018608588967,0
"14",1.36827878700261e-06,-4.82957047874922,1.13746216560581e-05,-4.82957047874922,0.0290280344662603,-4.82957047874922
"15",8.20206812351054e-06,-4.45984046984857,5.54375943258895e-05,-4.45984046984857,0.174006875240276,0
"16",2.93091044910832e-07,-5.12783634581813,2.98364996054861e-06,-5.12783634581813,0.0062179265177833,-5.12783634581813
"17",1.47968787611598e-10,-6.40745495043356,4.11962969708668e-09,-6.40745495043356,3.13915782918005e-06,-6.40745495043356
"18",0,0,0,0,0,0
"19",0,0,0,0,0,0
"20",0,0,0,0,0,0
"21",0.00071241718643334,-3.38475535837694,0.0027139397755761,-3.38475535837694,1,0
"22",0.000281270995644967,-3.63196525815174,0.00121242205560221,-3.63196525815174,1,0
"23",0.00115245929764058,-3.2503922532484,0.00411329475091602,-3.2503922532484,1,0
"24",0.0131602094244314,-2.47940415363772,0.0318969316736334,-2.47940415363772,1,0
"25",0.00236292663278703,-3.04036364006921,0.00759767937474642,-3.04036364006921,1,0
"26",0.0079162077929831,-2.65562291749424,0.0207810326737395,-2.65562291749424,1,0
"27",0.00483541938698883,-2.81779817500334,0.0138289865590413,-2.81779817500334,1,0
"28",0.0634204000473428,-1.85623267894109,0.117446210457784,0,1,0
"29",0.1431020158155,-1.46433654796086,0.229488945916231,0,1,0
"30",0.395244910966091,-0.850144216822186,0.510447481959312,0,1,0
"31",0.184159150518019,-1.32805738384911,0.281079786753716,0,1,0
"32",0.19717820241376,-1.28963274062197,0.296686537384121,0,1,0
"33",0.327951856623295,-0.978247645881399,0.442578433227395,0,1,0
"34",0.729119277850761,-0.346297326182149,0.80375502622,0,1,0
"35",0.669600641579845,-0.426696168584695,0.756783208732428,0,1,0
"36",0.755421549085209,-0.311498676225333,0.824990639547138,0,1,0
"37",0.969452841654381,-0.0382945429968821,0.979218876247103,0,1,0
"38",0.743392543011127,-0.327364064152449,0.815084645200324,0,1,0
"39",0.983639217629331,0.0205066370012654,0.988484960542194,0,1,0
"40",0.924882824744944,0.0942849249100679,0.94867507399243,0,1,0
"41",0,0,0,0,0,0
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",0,0,0,0,0,0
"48",0,0,0,0,0,0
"49",0,0,0,0,0,0
"50",0,0,0,0,0,0
"51",0,0,0,0,0,0
"52",0,0,0,0,0,0
"53",0,0,0,0,0,0
"54",0,0,0,0,0,0
"55",0,0,0,0,0,0
"56",0,0,0,0,0,0
"57",0,0,0,0,0,0
"58",0,0,0,0,0,0
"59",0,0,0,0,0,0
"60",0,0,0,0,0,0
"61",0,0,0,0,0,0
"62",0,0,0,0,0,0
"63",0,0,0,0,0,0
"64",0,0,0,0,0,0
"65",0,0,0,0,0,0
"66",0,0,0,0,0,0
"67",0,0,0,0,0,0
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"75",0,0,0,0,0,0
"76",0,0,0,0,0,0
"77",0,0,0,0,0,0
"78",0,0,0,0,0,0
"79",0,0,0,0,0,0
"80",0,0,0,0,0,0
"81",0,0,0,0,0,0
"82",0.0784558304474611,1.75971683198933,0.140210634566834,0,1,0
"83",0,0,0,0,0,0
"84",0,0,0,0,0,0
"85",0,0,0,0,0,0
"86",0,0,0,0,0,0
"87",0,0,0,0,0,0
"88",0,0,0,0,0,0
"89",0,0,0,0,0,0
"90",0,0,0,0,0,0
"91",0,0,0,0,0,0
"92",0,0,0,0,0,0
"93",0,0,0,0,0,0
"94",0,0,0,0,0,0
"95",2.68007430682915e-06,-4.69392873573032,2.05040665053662e-05,-4.69392873573032,0.0568577764193804,0
"96",1.22660545843356e-06,-4.85129079872383,1.03427801274515e-05,-4.85129079872383,0.026022434800668,-4.85129079872383
"97",2.51135826695552e-06,-4.70720540521555,1.94092770978001e-05,-4.70720540521555,0.0532784656334614,0
"98",2.11461560164107e-05,-4.2524318697899,0.0001269068457958,-4.2524318697899,0.448615699888154,0
"99",9.14022495127342e-08,-5.34303669819047,1.08133438199952e-06,-5.34303669819047,0.00193909872341266,-5.34303669819047
"100",9.66426346392812e-09,-5.73651826050945,1.54388064297617e-07,-5.73651826050945,0.000205027349387235,-5.73651826050945
"101",0,0,0,0,0,0
"102",0,0,0,0,0,0
"103",8.03488372631776e-06,-4.46425230981843,5.44426886789624e-05,-4.46425230981843,0.170460058253831,0
"104",1.34149467903814e-05,-4.35322479629242,8.52345301461337e-05,-4.35322479629242,0.284598096157941,0
"105",1.88948327017809e-05,-4.27756555160125,0.000115353633314614,-4.27756555160125,0.400853875768282,0
"106",3.47797384607382e-05,-4.13967553759589,0.000196494019965381,-4.13967553759589,0.737852151444561,0
"107",3.76999533563692e-08,-5.50130073206941,5.04290359681824e-07,-5.50130073206941,0.000799804510455372,-5.50130073206941
"108",4.910080434957e-08,-5.45453630027062,6.3671978256487e-07,-5.45453630027062,0.00104167356427613,-5.45453630027062
"109",0,0,0,0,0,0
"110",0.000268729648118547,-3.6437162704175,0.00116563064502862,-3.6437162704175,1,0
"111",0.000532569602482869,-3.46381653534787,0.00210438892096742,-3.46381653534787,1,0
"112",0.00154805896197987,-3.16552023083335,0.00529369292043891,-3.16552023083335,1,0
"113",0.000334864264798981,-3.58671944834944,0.00141686186232756,-3.58671944834944,1,0
"114",6.11663392494932e-07,-4.98749772671927,5.61750600509956e-06,-4.98749772671927,0.01297643887178,-4.98749772671927
"115",0,0,0,0,0,0
"116",0,0,0,0,0,0
"117",0.00280351357831912,-2.98849906532705,0.00876847126109984,-2.98849906532705,1,0
"118",0.000486230432208287,-3.48822955537813,0.0019477678661818,-3.48822955537813,1,0
"119",0.00335270475602009,-2.93340107671574,0.0101756268095803,-2.93340107671574,1,0
"120",0.000217760816125023,-3.69746781746677,0.000968713716521778,-3.69746781746677,1,0
"121",1.17302413076964e-05,-4.3825422409792,7.59405155150377e-05,-4.3825422409792,0.248857069342779,0
"122",0,0,0,0,0,0
"123",0,0,0,0,0,0
"124",0.000503387440133722,-3.47894736917415,0.00200438523694387,-3.47894736917415,1,0
"125",0.00226279218317035,-3.05337997741845,0.00731674076603549,-3.05337997741845,1,0
"126",0.00251793021321983,-3.02117832527252,0.00800268007093014,-3.02117832527252,1,0
"127",0.000235075528588151,-3.67799395621778,0.00103531811064929,-3.67799395621778,1,0
"128",1.72404146955165e-06,-4.78334231667665,1.39707944142621e-05,-4.78334231667665,0.0365755397765383,-4.78334231667665
"129",0,0,0,0,0,0
"130",0.00306854530908466,-2.96078654212388,0.00946120379941331,-2.96078654212388,1,0
"131",0.00111644919784625,-3.2594081624776,0.00400159988719515,-3.2594081624776,1,0
"132",8.52491531431185e-05,-3.92914295002925,0.000430712260998156,-3.92914295002925,1,0
"133",3.35304661232127e-05,-4.1480599122983,0.000190659029430168,-4.1480599122983,0.711348838803958,0
"134",8.35617725112286e-08,-5.35926378290603,9.96494099958243e-07,-5.35926378290603,0.00177276300382572,-5.35926378290603
"135",0.0168429064253168,-2.39011917573403,0.0391328726112251,-2.39011917573403,1,0
"136",0.000799345097735473,-3.35302145577969,0.00300314923299286,-3.35302145577969,1,0
"137",0.000133467311993225,-3.81997109887585,0.000634414152543209,-3.81997109887585,1,0
"138",4.25121424819306e-07,-5.05735051655392,4.1032534247232e-06,-5.05735051655392,0.00901895102754159,-5.05735051655392
"139",9.24696910294064e-09,-5.74399285560297,1.48729681212195e-07,-5.74399285560297,0.000196174449518886,-5.74399285560297
"140",0.055169568335229,-1.9175383927117,0.104735784539766,0,1,0
"141",0.00185508654617113,-3.11250216281757,0.00617828274364528,-3.11250216281757,1,0
"142",4.48055725737522e-05,-4.08119070509086,0.000246575933113399,-4.08119070509086,0.950550222152152,0
"143",1.65820730186634e-08,-5.64433519838159,2.47231641074927e-07,-5.64433519838159,0.000351788679090945,-5.64433519838159
"144",3.96559152295814e-08,-5.49237725736763,5.25812650997231e-07,-5.49237725736763,0.00084130024159557,-5.49237725736763
"145",0.0299484724562605,-2.17077119398949,0.0631128283659051,0,1,0
"146",0.000821680069231244,-3.34538641382044,0.0030760442330582,-3.34538641382044,1,0
"147",4.72814331696495e-06,-4.57650238032745,3.39450289236587e-05,-4.57650238032745,0.100307560469411,0
"148",4.79953419327588e-09,-5.85397755676257,8.31200962533451e-08,-5.85397755676257,0.000101822117910348,-5.85397755676257
"149",0.0159958371479097,-2.40901051412277,0.0374636429818321,-2.40901051412277,1,0
"150",1.15574393249671e-05,-4.38577339412108,7.49819802076994e-05,-4.38577339412108,0.245191075279177,0
"151",1.18703868765374e-06,-4.85778889529744,1.0085312678644e-05,-4.85778889529744,0.025183025758574,-4.85778889529744
"152",6.85183046160319e-08,-5.39501375161232,8.409669343493e-07,-5.39501375161232,0.00145361583242912,-5.39501375161232
"153",0.00288328254695785,-2.97991513087235,0.00897957123219476,-2.97991513087235,1,0
"154",1.91591332665133e-06,-4.76209722276688,1.5320807095706e-05,-4.76209722276688,0.040646101224908,-4.76209722276688
"155",5.30256931592666e-07,-5.01502818108278,4.96005326443492e-06,-5.01502818108278,0.0112494008037384,-5.01502818108278
"156",1.89697367237708e-06,-4.76410111588666,1.51865269658414e-05,-4.76410111588666,0.0402442964594798,-4.76410111588666
"157",0.00114223788968569,-3.25292463222959,0.00408161981298332,-3.25292463222959,1,0
"158",0.000132273250646376,-3.82218712703814,0.000630035252012319,-3.82218712703814,1,0
"159",1.54075211125703e-05,-4.32278020522702,9.62233030330228e-05,-4.32278020522702,0.326870560403179,0
"160",2.23226099182902e-05,-4.24029512315093,0.000133438762867435,-4.24029512315093,0.473574169416527,0
"161",0,0,0,0,0,0
"162",0.0168276255510332,-2.39045250358,0.0391059345016069,-2.39045250358,1,0
"163",0.000203149723254877,-3.7150671698002,0.000910974715462315,-3.7150671698002,1,0
"164",0.000378584792108815,-3.55457897620566,0.00157545632887181,-3.55457897620566,1,0
"165",0.00357527962199149,-2.91338983533176,0.0107329216330196,-2.91338983533176,1,0
"166",0.179846398908617,-1.34122812077179,0.275702099345784,0,1,0
"167",0.0122613585875957,-2.50453179035629,0.0300813711598364,-2.50453179035629,1,0
"168",0.00457899951860088,-2.83524890113903,0.0132024292996898,-2.83524890113903,1,0
"169",0.0567621150219879,-1.90513815335229,0.107336506835856,0,1,0
"170",0.184068499189595,-1.32833185946288,0.280976630472533,0,1,0
"171",0.0907173949874595,-1.69162553303788,0.157738671802226,0,1,0
"172",0.0384326062923784,-2.07021082185868,0.0776595621004674,0,1,0
"173",0.00684713558035173,-2.70418888172838,0.0184459658840841,-2.70418888172838,1,0
"174",0,0,0,0,0,0
"175",0.398294723281967,-0.844670699351078,0.513667024585223,0,1,0
"176",0.102213199913983,-1.63421744926686,0.174340974125675,0,1,0
"177",0.0118378017257699,-2.51694288490727,0.0292430092701687,-2.51694288490727,1,0
"178",0.0685588841161472,-1.82131568106974,0.12522399711787,0,1,0
"179",0,0,0,0,0,0
"180",0.772841028690378,-0.288660714551554,0.837273456174015,0,1,0
"181",0.412317788093081,-0.819821648214679,0.527487298703173,0,1,0
"182",0.389333656387009,-0.860826411198977,0.504965062068252,0,1,0
"183",0.644243476538572,-0.461773890245907,0.735451213665831,0,1,0
"184",0,0,0,0,0,0
"185",0.872290114408927,0.160750244740606,0.911069061499872,0,1,0
"186",0.82110769288286,-0.226120510154978,0.873798936326561,0,1,0
"187",0.748266603814815,0.320925823572947,0.819116408665186,0,1,0
"188",0.869968228646402,0.163698842704354,0.909808536465218,0,1,0
"189",0,0,0,0,0,0
"190",0.518067223327311,0.646327590481916,0.627328546968545,0,1,0
"191",0.475287863499477,0.713901865878335,0.587772196102676,0,1,0
"192",0.279871308844969,1.08060847990987,0.390983130327014,0,1,0
"193",0.414793862163001,0.815486546847843,0.529983846409785,0,1,0
"194",0,0,0,0,0,0
"195",0,0,0,0,0,0
"196",0.245193958081306,1.16210218973494,0.352711541951105,0,1,0
"197",0.00943279059164646,2.59595686656668,0.0241017285802457,2.59595686656668,1,0
"198",0.0117343436329711,2.52003418835931,0.0290246123555418,2.52003418835931,1,0
"199",0.0208430379633715,2.3108156814808,0.0465850242723269,2.3108156814808,1,0
"200",0,0,0,0,0,0
"201",0,0,0,0,0,0
"202",0,0,0,0,0,0
"203",0.0581566257948968,1.8945154485334,0.109466135767788,0,1,0
"204",0.00100921158593003,3.28794610167794,0.00366652071347796,3.28794610167794,1,0
"205",0,0,0,0,0,0
"206",0,0,0,0,0,0
"207",0,0,0,0,0,0
"208",0,0,0,0,0,0
"209",0,0,0,0,0,0
"210",0,0,0,0,0,0
"211",0,0,0,0,0,0
"212",0,0,0,0,0,0
"213",0,0,0,0,0,0
"214",0,0,0,0,0,0
"215",0,0,0,0,0,0
"216",0,0,0,0,0,0
"217",0,0,0,0,0,0
"218",0,0,0,0,0,0
"219",0,0,0,0,0,0
"220",0,0,0,0,0,0
"221",0,0,0,0,0,0
"222",0,0,0,0,0,0
"223",0,0,0,0,0,0
"224",0,0,0,0,0,0
"225",0,0,0,0,0,0
"226",0,0,0,0,0,0
"227",0,0,0,0,0,0
"228",0,0,0,0,0,0
"229",0,0,0,0,0,0
"230",0,0,0,0,0,0
"231",0,0,0,0,0,0
"232",0,0,0,0,0,0
"233",0,0,0,0,0,0
"234",0,0,0,0,0,0
"235",0,0,0,0,0,0
"236",0,0,0,0,0,0
"237",0,0,0,0,0,0
"238",0,0,0,0,0,0
"239",0,0,0,0,0,0
"240",0,0,0,0,0,0
"241",0,0,0,0,0,0
"242",0,0,0,0,0,0
"243",0,0,0,0,0,0
"244",0,0,0,0,0,0
"245",0,0,0,0,0,0
"246",0,0,0,0,0,0
"247",0,0,0,0,0,0
"248",0,0,0,0,0,0
"249",0,0,0,0,0,0
"250",0,0,0,0,0,0
"251",0,0,0,0,0,0
"252",0,0,0,0,0,0
"253",0,0,0,0,0,0
"254",0,0,0,0,0,0
"255",0,0,0,0,0,0
"256",0,0,0,0,0,0
"257",0,0,0,0,0,0
"258",0,0,0,0,0,0
"259",0,0,0,0,0,0
"260",0,0,0,0,0,0
"261",0,0,0,0,0,0
"262",0,0,0,0,0,0
"263",0,0,0,0,0,0
"264",0,0,0,0,0,0
"265",0,0,0,0,0,0
"266",0,0,0,0,0,0
"267",0,0,0,0,0,0
"268",0,0,0,0,0,0
"269",0,0,0,0,0,0
"270",0,0,0,0,0,0
"271",0,0,0,0,0,0
"272",0,0,0,0,0,0
"273",0,0,0,0,0,0
"274",0,0,0,0,0,0
"275",0,0,0,0,0,0
"276",0,0,0,0,0,0
"277",0,0,0,0,0,0
"278",0,0,0,0,0,0
"279",0,0,0,0,0,0
"280",0,0,0,0,0,0
"281",0,0,0,0,0,0
"282",0,0,0,0,0,0
"283",0,0,0,0,0,0
"284",0,0,0,0,0,0
"285",0,0,0,0,0,0
"286",0,0,0,0,0,0
"287",0,0,0,0,0,0
"288",0,0,0,0,0,0
"289",0,0,0,0,0,0
"290",0,0,0,0,0,0
"291",0,0,0,0,0,0
"292",0,0,0,0,0,0
"293",0,0,0,0,0,0
"294",0,0,0,0,0,0
"295",0,0,0,0,0,0
"296",0,0,0,0,0,0
"297",0,0,0,0,0,0
"298",0,0,0,0,0,0
"299",0,0,0,0,0,0
"300",0,0,0,0,0,0
"301",0,0,0,0,0,0
"302",0,0,0,0,0,0
"303",0,0,0,0,0,0
"304",0,0,0,0,0,0
"305",0,0,0,0,0,0
"306",0,0,0,0,0,0
"307",0,0,0,0,0,0
"308",0,0,0,0,0,0
"309",0,0,0,0,0,0
"310",0,0,0,0,0,0
"311",0,0,0,0,0,0
"312",0,0,0,0,0,0
"313",0,0,0,0,0,0
"314",0,0,0,0,0,0
"315",0,0,0,0,0,0
"316",0,0,0,0,0,0
"317",0,0,0,0,0,0
"318",0,0,0,0,0,0
"319",0,0,0,0,0,0
"320",0,0,0,0,0,0
"321",0,0,0,0,0,0
"322",0,0,0,0,0,0
"323",0,0,0,0,0,0
"324",0,0,0,0,0,0
"325",0,0,0,0,0,0
"326",0,0,0,0,0,0
"327",0,0,0,0,0,0
"328",0,0,0,0,0,0
"329",0,0,0,0,0,0
"330",0,0,0,0,0,0
"331",0,0,0,0,0,0
"332",0,0,0,0,0,0
"333",0,0,0,0,0,0
"334",0,0,0,0,0,0
"335",0,0,0,0,0,0
